"Customer_ID","Gender","Age","Town","Visit_Frequency_per_month","Loyalty_Status","Email_Domain"
"1","Male","19","Köniz","5","Gold","bluewin.ch"
"2","Male","19","La Chaux-de-Fonds","6","nan","gmail.com"
"3","Male","45","Vevey","3","Gold","yahoo.com"
"4","Non-binary","40","Bern","9","nan","outlook.com"
"5","Female","54","Biel/Bienne","5","Gold","gmail.com"
"6","Female","49","Lausanne","8","nan","bluewin.ch"
"7","Male","50","Winterthur","1","Gold","gmail.com"
"8","Female","18","Geneva","5","nan","outlook.com"
"9","Male","36","St. Gallen","3","nan","gmail.com"
"10","Male","19","Köniz","1","nan","yahoo.com"
"11","Non-binary","61","Lugano","4","Silver","hotmail.com"
"12","Female","43","Uster","5","nan","yahoo.com"
"13","Female","49","Biel/Bienne","7","Silver","swissonline.ch"
"14","Female","23","Winterthur","1","nan","yahoo.com"
"15","Female","49","Köniz","3","nan","swissonline.ch"
"16","Female","21","Köniz","2","nan","swissonline.ch"
"17","Male","28","Sion","9","nan","hotmail.com"
"18","Male","34","Chur","6","Silver","gmail.com"
"19","Male","55","Bern","3","nan","gmail.com"
"20","Male","41","Lugano","8","Gold","outlook.com"
"21","Male","22","Köniz","8","nan","protonmail.com"
"22","Non-binary","69","Sion","2","Silver","yahoo.com"
"23","Female","51","Thun","6","Silver","bluewin.ch"
"24","Male","23","Chur","7","Silver","swissonline.ch"
"25","Female","39","Geneva","2","nan","bluewin.ch"
"26","Male","28","Sion","2","nan","swissonline.ch"
"27","Non-binary","65","Thun","1","Silver","protonmail.com"
"28","Female","33","Schaffhausen","8","nan","hotmail.com"
"29","Male","50","Bern","1","nan","gmail.com"
"30","Male","26","Köniz","9","Silver","hotmail.com"
"31","Female","23","Geneva","6","Silver","gmail.com"
"32","Male","33","Bern","7","nan","bluewin.ch"
"33","Female","46","Sion","7","nan","outlook.com"
"34","Female","20","Neuchâtel","3","nan","hotmail.com"
"35","Male","37","Lausanne","2","nan","bluewin.ch"
"36","Male","53","Basel","9","nan","swissonline.ch"
"37","Non-binary","36","Schaffhausen","8","nan","hotmail.com"
"38","Female","43","Lausanne","7","nan","bluewin.ch"
"39","Male","20","Sion","9","Gold","swissonline.ch"
"40","Male","36","Fribourg","4","Silver","gmail.com"
"41","Male","37","Winterthur","4","Gold","swissonline.ch"
"42","Female","49","Sion","1","Silver","protonmail.com"
"43","Female","24","Thun","8","nan","gmail.com"
"44","Male","69","La Chaux-de-Fonds","3","nan","gmail.com"
"45","Male","58","Lausanne","7","nan","yahoo.com"
"46","Male","50","Chur","2","nan","bluewin.ch"
"47","Non-binary","57","Lausanne","2","nan","protonmail.com"
"48","Female","56","St. Gallen","7","nan","yahoo.com"
"49","Non-binary","35","Neuchâtel","6","Silver","swissonline.ch"
"50","Female","57","Lugano","3","nan","gmail.com"
"51","Male","18","Lucerne","9","nan","bluewin.ch"
"52","Female","28","Uster","6","nan","bluewin.ch"
"53","Female","45","Geneva","6","nan","gmail.com"
"54","Female","42","Biel/Bienne","1","Gold","swissonline.ch"
"55","Male","67","Köniz","4","Silver","swissonline.ch"
"56","Female","40","Köniz","6","nan","bluewin.ch"
"57","Male","48","Geneva","6","nan","gmail.com"
"58","Male","47","Lausanne","5","nan","protonmail.com"
"59","Female","59","Lugano","1","Silver","swissonline.ch"
"60","Non-binary","52","La Chaux-de-Fonds","8","nan","yahoo.com"
"61","Female","24","Schaffhausen","5","Silver","yahoo.com"
"62","Male","33","Schaffhausen","5","Silver","yahoo.com"
"63","Female","43","St. Gallen","7","Silver","outlook.com"
"64","Male","65","Bern","4","nan","yahoo.com"
"65","Non-binary","69","Vevey","6","nan","swissonline.ch"
"66","Female","66","Chur","4","nan","swissonline.ch"
"67","Male","19","Fribourg","3","nan","gmail.com"
"68","Female","18","Köniz","7","nan","protonmail.com"
"69","Female","65","Neuchâtel","8","Silver","bluewin.ch"
"70","Male","29","Zurich","4","nan","swissonline.ch"
"71","Female","22","Vevey","2","nan","bluewin.ch"
"72","Female","54","Lugano","3","Silver","outlook.com"
"73","Female","49","Neuchâtel","1","nan","swissonline.ch"
"74","Female","26","La Chaux-de-Fonds","8","Silver","protonmail.com"
"75","Male","58","Basel","3","nan","hotmail.com"
"76","Male","52","Basel","7","nan","swissonline.ch"
"77","Male","36","Basel","5","Silver","outlook.com"
"78","Non-binary","65","Sion","5","nan","outlook.com"
"79","Female","33","Lugano","7","Silver","outlook.com"
"80","Female","20","Fribourg","9","Silver","swissonline.ch"
"81","Male","37","Chur","5","nan","hotmail.com"
"82","Male","41","Lausanne","1","nan","swissonline.ch"
"83","Female","50","Fribourg","1","nan","swissonline.ch"
"84","Non-binary","41","Lugano","2","Gold","gmail.com"
"85","Male","69","Biel/Bienne","6","nan","protonmail.com"
"86","Female","28","La Chaux-de-Fonds","9","nan","hotmail.com"
"87","Male","66","Vevey","8","nan","outlook.com"
"88","Female","25","Geneva","5","Silver","bluewin.ch"
"89","Female","53","Winterthur","1","nan","yahoo.com"
"90","Male","55","Lugano","7","Silver","gmail.com"
"91","Female","57","Zurich","5","Silver","swissonline.ch"
"92","Female","37","Uster","6","Gold","hotmail.com"
"93","Male","52","Fribourg","7","nan","hotmail.com"
"94","Female","65","Lugano","3","Gold","swissonline.ch"
"95","Male","42","Chur","3","Silver","yahoo.com"
"96","Male","52","Sion","5","Silver","protonmail.com"
"97","Female","42","Winterthur","6","Silver","bluewin.ch"
"98","Female","46","Zurich","9","nan","hotmail.com"
"99","Male","35","Geneva","5","Silver","gmail.com"
"100","Male","63","Schaffhausen","1","nan","protonmail.com"
"101","Non-binary","35","La Chaux-de-Fonds","4","Silver","gmail.com"
"102","Female","19","Thun","5","Silver","swissonline.ch"
"103","Male","52","Vevey","5","nan","outlook.com"
"104","Female","33","Sion","7","nan","swissonline.ch"
"105","Male","58","Basel","4","nan","bluewin.ch"
"106","Male","53","Basel","1","Silver","bluewin.ch"
"107","Male","50","Lucerne","5","Silver","outlook.com"
"108","Female","21","Schaffhausen","7","nan","swissonline.ch"
"109","Male","50","Uster","6","Silver","gmail.com"
"110","Male","31","Schaffhausen","5","nan","hotmail.com"
"111","Male","38","Schaffhausen","4","nan","bluewin.ch"
"112","Female","65","Lausanne","2","nan","yahoo.com"
"113","Male","37","Lausanne","4","nan","bluewin.ch"
"114","Non-binary","25","Basel","3","nan","outlook.com"
"115","Female","24","Uster","1","nan","outlook.com"
"116","Male","20","Schaffhausen","8","nan","yahoo.com"
"117","Male","34","Winterthur","5","nan","swissonline.ch"
"118","Female","50","Fribourg","4","Silver","yahoo.com"
"119","Male","65","Bern","8","Silver","bluewin.ch"
"120","Male","29","La Chaux-de-Fonds","7","nan","hotmail.com"
