"Restock_ID","Product_ID","Supplier","Restock_Date","Units_Ordered","Unit_Cost_CHF","Total_Cost_CHF","Lead_Time_days"
"1","32","BaselBasics","06/17/2025","73","16.82","1,227.86","20"
"2","25","LucerneLooms","01/20/2025","22","28.24","621.28","4"
"3","5","BaselBasics","03/09/2025","35","16.24","568.40","20"
"4","18","GenevaGarb","06/27/2025","76","30.99","2,355.24","17"
"5","17","EuroModa","01/21/2025","94","22.17","2,083.98","4"
"6","34","LucerneLooms","06/22/2025","31","47.96","1,486.76","8"
"7","43","ZurichThreads","04/08/2025","93","11.38","1,058.34","3"
"8","17","EuroModa","06/10/2025","35","22.17","775.95","17"
"9","35","SwissFashionCo","05/05/2025","91","48.63","4,425.33","12"
"10","15","GenevaGarb","01/10/2025","95","17.27","1,640.65","19"
"11","48","ZurichThreads","03/02/2025","43","30.80","1,324.40","7"
"12","41","BaselBasics","03/15/2025","47","14.88","699.36","6"
"13","28","AlpineTextiles","01/24/2025","27","30.57","825.39","12"
"14","23","SwissFashionCo","01/26/2025","55","21.69","1,192.95","19"
"15","16","BernApparel","06/30/2025","27","17.34","468.18","12"
"16","17","EuroModa","04/24/2025","77","22.17","1,707.09","19"
"17","49","GenevaGarb","03/09/2025","79","31.87","2,517.73","7"
"18","21","LuganoLux","01/12/2025","69","34.47","2,378.43","4"
"19","26","SwissFashionCo","01/15/2025","47","41.41","1,946.27","8"
"20","50","SwissFashionCo","03/23/2025","60","17.39","1,043.40","4"
"21","33","BernApparel","03/04/2025","83","12.60","1,045.80","15"
"22","28","AlpineTextiles","05/25/2025","46","30.57","1,406.22","13"
"23","21","LuganoLux","02/16/2025","82","34.47","2,826.54","13"
"24","10","AlpineTextiles","01/19/2025","36","38.32","1,379.52","18"
"25","19","LuganoLux","04/08/2025","92","27.28","2,509.76","13"
"26","38","GenevaGarb","03/03/2025","52","13.91","723.32","17"
"27","32","BaselBasics","05/30/2025","96","16.82","1,614.72","18"
"28","38","GenevaGarb","04/13/2025","48","13.91","667.68","13"
"29","11","EuroModa","04/28/2025","32","10.82","346.24","18"
"30","28","AlpineTextiles","01/04/2025","65","30.57","1,987.05","10"
"31","47","AlpineTextiles","04/30/2025","54","22.47","1,213.38","6"
"32","22","BaselBasics","06/23/2025","25","15.58","389.50","10"
"33","35","SwissFashionCo","01/19/2025","88","48.63","4,279.44","6"
"34","7","LucerneLooms","03/30/2025","66","12.32","813.12","5"
"35","49","GenevaGarb","03/18/2025","44","31.87","1,402.28","5"
"36","31","LuganoLux","04/19/2025","85","34.30","2,915.50","20"
"37","12","BernApparel","04/27/2025","29","48.80","1,415.20","7"
"38","8","AlpineTextiles","02/20/2025","75","44.65","3,348.75","20"
"39","28","AlpineTextiles","05/04/2025","49","30.57","1,497.93","12"
"40","28","AlpineTextiles","03/29/2025","24","30.57","733.68","8"
"41","5","BaselBasics","05/28/2025","52","16.24","844.48","3"
"42","50","SwissFashionCo","06/07/2025","84","17.39","1,460.76","7"
"43","46","ZurichThreads","05/31/2025","37","36.50","1,350.50","11"
"44","24","EuroModa","01/03/2025","68","24.65","1,676.20","14"
"45","6","BaselBasics","06/25/2025","30","16.24","487.20","16"
"46","42","AlpineTextiles","01/13/2025","45","29.81","1,341.45","4"
"47","25","LucerneLooms","05/08/2025","82","28.24","2,315.68","19"
"48","36","BernApparel","03/15/2025","78","42.34","3,302.52","16"
"49","26","SwissFashionCo","02/28/2025","46","41.41","1,904.86","15"
"50","14","EuroModa","04/01/2025","68","18.49","1,257.32","11"
"51","42","AlpineTextiles","02/15/2025","96","29.81","2,861.76","17"
"52","50","SwissFashionCo","06/23/2025","52","17.39","904.28","17"
"53","13","AlpineTextiles","06/18/2025","20","43.30","866.00","13"
"54","28","AlpineTextiles","02/05/2025","40","30.57","1,222.80","18"
"55","20","AlpineTextiles","06/10/2025","74","21.65","1,602.10","19"
"56","47","AlpineTextiles","03/21/2025","25","22.47","561.75","6"
"57","26","SwissFashionCo","01/09/2025","88","41.41","3,644.08","3"
"58","44","ZurichThreads","02/03/2025","24","46.37","1,112.88","10"
"59","44","ZurichThreads","03/08/2025","22","46.37","1,020.14","19"
"60","14","EuroModa","04/17/2025","72","18.49","1,331.28","5"
"61","40","GenevaGarb","02/01/2025","42","27.61","1,159.62","17"
"62","21","LuganoLux","04/04/2025","72","34.47","2,481.84","17"
"63","47","AlpineTextiles","03/11/2025","56","22.47","1,258.32","16"
"64","26","SwissFashionCo","03/07/2025","93","41.41","3,851.13","16"
"65","42","AlpineTextiles","05/04/2025","93","29.81","2,772.33","4"
"66","15","GenevaGarb","03/17/2025","36","17.27","621.72","15"
"67","15","GenevaGarb","03/28/2025","97","17.27","1,675.19","16"
"68","30","GenevaGarb","04/30/2025","92","11.86","1,091.12","9"
"69","50","SwissFashionCo","02/06/2025","20","17.39","347.80","5"
"70","25","LucerneLooms","02/27/2025","70","28.24","1,976.80","17"
"71","8","AlpineTextiles","06/22/2025","64","44.65","2,857.60","16"
"72","27","AlpineTextiles","05/23/2025","96","17.99","1,727.04","13"
"73","18","GenevaGarb","04/12/2025","23","30.99","712.77","17"
"74","28","AlpineTextiles","05/03/2025","81","30.57","2,476.17","15"
"75","28","AlpineTextiles","03/23/2025","84","30.57","2,567.88","20"
"76","23","SwissFashionCo","06/22/2025","51","21.69","1,106.19","8"
"77","17","EuroModa","03/29/2025","53","22.17","1,175.01","5"
"78","10","AlpineTextiles","04/06/2025","91","38.32","3,487.12","17"
"79","35","SwissFashionCo","02/22/2025","58","48.63","2,820.54","7"
"80","29","LuganoLux","06/08/2025","45","33.70","1,516.50","12"
"81","12","BernApparel","05/24/2025","53","48.80","2,586.40","9"
"82","39","LuganoLux","06/06/2025","73","37.37","2,728.01","19"
"83","3","ZurichThreads","01/18/2025","22","39.28","864.16","9"
"84","38","GenevaGarb","04/29/2025","69","13.91","959.79","14"
"85","36","BernApparel","03/19/2025","31","42.34","1,312.54","19"
"86","41","BaselBasics","01/30/2025","84","14.88","1,249.92","15"
"87","20","AlpineTextiles","01/11/2025","73","21.65","1,580.45","6"
"88","34","LucerneLooms","05/07/2025","24","47.96","1,151.04","12"
"89","42","AlpineTextiles","02/23/2025","76","29.81","2,265.56","5"
"90","50","SwissFashionCo","02/04/2025","36","17.39","626.04","11"
"91","25","LucerneLooms","04/05/2025","66","28.24","1,863.84","15"
"92","2","AlpineTextiles","06/28/2025","42","48.03","2,017.26","20"
"93","26","SwissFashionCo","04/18/2025","98","41.41","4,058.18","17"
"94","30","GenevaGarb","02/09/2025","33","11.86","391.38","6"
"95","44","ZurichThreads","06/17/2025","85","46.37","3,941.45","17"
"96","44","ZurichThreads","04/20/2025","94","46.37","4,358.78","4"
"97","23","SwissFashionCo","03/13/2025","70","21.69","1,518.30","17"
"98","27","AlpineTextiles","03/23/2025","57","17.99","1,025.43","10"
"99","23","SwissFashionCo","04/12/2025","83","21.69","1,800.27","10"
