"Campaign_ID","Channel","Start_Date","End_Date","Budget_CHF","Conversions","Revenue_Generated_CHF","Discount_used_CHF"
"1","Facebook","02/06/2025","02/13/2025","$4,775.28","83","$21,876.80","$1,873.22"
"2","Email","02/26/2025","03/07/2025","$4,777.73","195","$11,124.46","$1,224.06"
"3","Email","01/16/2025","01/30/2025","$3,080.47","154","$14,407.14","$1,752.73"
"4","Google","03/01/2025","03/29/2025","$3,343.27","16","$11,940.86","$745.51"
"5","Email","03/30/2025","04/24/2025","$2,518.00","183","$6,863.47","$887.14"
"6","LocalFlyer","02/08/2025","03/05/2025","$1,819.45","150","$7,238.93","$835.74"
"7","Email","03/31/2025","04/07/2025","$1,978.99","177","$6,304.73","$1,073.80"
"8","Email","02/21/2025","03/21/2025","$3,526.33","179","$9,954.68","$1,957.94"
"9","Email","02/04/2025","02/19/2025","$3,885.69","146","$15,417.62","$2,056.72"
"10","LocalFlyer","03/06/2025","03/31/2025","$4,062.11","187","$9,629.37","$947.56"
