"Product_ID","Product_Name","Category","Cost_Price_CHF","Selling_Price_CHF","Supplier","Stock_Level_initial"
"1","T-shirt 1","T-shirt","24.98","61.69","GenevaGarb","112"
"2","T-shirt 2","T-shirt","48.03","109.27","AlpineTextiles","145"
"3","T-shirt 3","T-shirt","39.28","95.82","ZurichThreads","101"
"4","T-shirt 4","T-shirt","33.95","81.30","ZurichThreads","145"
"5","T-shirt 5","T-shirt","16.24","34.07","BaselBasics","181"
"6","T-shirt 6","T-shirt","16.24","39.33","BaselBasics","192"
"7","T-shirt 7","T-shirt","12.32","19.57","LucerneLooms","78"
"8","T-shirt 8","T-shirt","44.65","75.73","AlpineTextiles","85"
"9","Hoodie 9","Hoodie","34.04","52.60","SwissFashionCo","62"
"10","Hoodie 10","Hoodie","38.32","69.95","AlpineTextiles","120"
"11","Hoodie 11","Hoodie","10.82","20.44","EuroModa","135"
"12","Hoodie 12","Hoodie","48.80","86.44","BernApparel","77"
"13","Hoodie 13","Hoodie","43.30","100.83","AlpineTextiles","115"
"14","Hoodie 14","Hoodie","18.49","34.33","EuroModa","94"
"15","Hoodie 15","Hoodie","17.27","30.76","GenevaGarb","111"
"16","Hoodie 16","Hoodie","17.34","35.42","BernApparel","183"
"17","Jeans 17","Jeans","22.17","36.38","EuroModa","77"
"18","Jeans 18","Jeans","30.99","71.35","GenevaGarb","77"
"19","Jeans 19","Jeans","27.28","42.95","LuganoLux","157"
"20","Jeans 20","Jeans","21.65","53.84","AlpineTextiles","93"
"21","Jeans 21","Jeans","34.47","78.32","LuganoLux","133"
"22","Jeans 22","Jeans","15.58","26.47","BaselBasics","79"
"23","Jeans 23","Jeans","21.69","32.65","SwissFashionCo","124"
"24","Jeans 24","Jeans","24.65","57.08","EuroModa","177"
"25","Dress 25","Dress","28.24","62.32","LucerneLooms","141"
"26","Dress 26","Dress","41.41","92.30","SwissFashionCo","178"
"27","Dress 27","Dress","17.99","40.86","AlpineTextiles","170"
"28","Dress 28","Dress","30.57","48.12","AlpineTextiles","76"
"29","Dress 29","Dress","33.70","62.63","LuganoLux","170"
"30","Dress 30","Dress","11.86","19.16","GenevaGarb","165"
"31","Dress 31","Dress","34.30","81.05","LuganoLux","52"
"32","Dress 32","Dress","16.82","35.71","BaselBasics","152"
"33","Jacket 33","Jacket","12.60","23.07","BernApparel","186"
"34","Jacket 34","Jacket","47.96","74.99","LucerneLooms","111"
"35","Jacket 35","Jacket","48.63","88.07","SwissFashionCo","100"
"36","Jacket 36","Jacket","42.34","77.28","BernApparel","108"
"37","Jacket 37","Jacket","22.18","49.45","LuganoLux","167"
"38","Jacket 38","Jacket","13.91","29.73","GenevaGarb","145"
"39","Jacket 39","Jacket","37.37","89.21","LuganoLux","162"
"40","Jacket 40","Jacket","27.61","54.45","GenevaGarb","111"
"41","Shoes 41","Shoes","14.88","24.10","BaselBasics","101"
"42","Shoes 42","Shoes","29.81","65.98","AlpineTextiles","61"
"43","Shoes 43","Shoes","11.38","25.73","ZurichThreads","88"
"44","Shoes 44","Shoes","46.37","95.58","ZurichThreads","179"
"45","Shoes 45","Shoes","20.35","46.21","AlpineTextiles","180"
"46","Shoes 46","Shoes","36.50","72.77","ZurichThreads","162"
"47","Shoes 47","Shoes","22.47","45.45","AlpineTextiles","150"
"48","Shoes 48","Shoes","30.80","59.37","ZurichThreads","162"
"49","T-shirt 49","T-shirt","31.87","48.62","GenevaGarb","130"
"50","Hoodie 50","Hoodie","17.39","27.96","SwissFashionCo","162"
