"Sale_ID","Date","Product_ID","Quantity","Unit_Price_CHF","Total_Price_CHF","Customer_ID","Payment_Method","Employee_ID","Discount_CHF","Channel"
"1","06/01/2025","8","4","75.73","295.34","35","Card","8","7.58","Online"
"2","05/25/2025","10","3","69.95","182.19","8","Card","11","27.66","InStore"
"3","03/30/2025","35","2","88.07","165.46","73","Card","7","10.68","Online"
"4","01/26/2025","32","1","35.71","31.58","79","Card","15","4.13","InStore"
"5","04/27/2025","46","1","72.77","66.51","109","Card","3","6.26","InStore"
"6","02/16/2025","37","2","49.45","92.64","117","Card","14","6.26","InStore"
"7","06/02/2025","3","4","95.82","340.02","58","Cash","8","43.26","Online"
"8","01/13/2025","19","2","42.95","81.34","124","MobilePay","4","4.56","InStore"
"9","03/04/2025","36","4","77.28","264.67","37","Cash","10","44.45","InStore"
"10","05/25/2025","49","2","48.62","95.15","86","Card","4","2.09","InStore"
"11","06/21/2025","31","3","81.05","235.69","106","MobilePay","6","7.46","InStore"
"12","05/31/2025","38","4","29.73","106.18","29","MobilePay","12","12.74","InStore"
"13","02/22/2025","40","3","54.45","158.83","67","Cash","2","4.52","InStore"
"14","02/02/2025","12","1","86.44","85.27","63","Card","15","1.17","InStore"
"15","06/02/2025","12","2","86.44","170.21","62","Card","7","2.67","InStore"
"16","02/02/2025","49","1","48.62","43.00","31","Card","4","5.62","Online"
"17","05/19/2025","40","1","54.45","51.36","76","Cash","11","3.09","InStore"
"18","02/09/2025","46","1","72.77","72.03","92","MobilePay","5","0.74","InStore"
"19","01/05/2025","10","1","69.95","63.61","71","MobilePay","13","6.34","Online"
"20","03/22/2025","34","2","74.99","131.15","128","Cash","2","18.83","InStore"
"21","03/02/2025","29","1","62.63","58.52","110","MobilePay","15","4.11","Online"
"22","01/05/2025","23","2","32.65","60.54","106","Cash","10","4.76","Online"
"23","01/12/2025","39","2","89.21","153.92","78","MobilePay","1","24.50","InStore"
"24","04/05/2025","39","3","89.21","238.66","85","Cash","7","28.97","InStore"
"25","01/17/2025","26","4","92.30","335.40","150","Card","6","33.80","Online"
"26","04/03/2025","21","4","78.32","268.67","72","MobilePay","8","44.61","InStore"
"27","01/28/2025","9","2","52.60","98.94","57","MobilePay","10","6.26","InStore"
"28","02/26/2025","10","3","69.95","179.82","144","Card","11","30.03","InStore"
"29","01/12/2025","31","2","81.05","158.82","69","MobilePay","2","3.28","Online"
"30","06/18/2025","44","2","95.58","167.45","80","Card","13","23.71","InStore"
"31","04/28/2025","3","2","95.82","164.07","82","MobilePay","10","27.57","InStore"
"32","01/08/2025","25","3","62.32","173.39","102","Cash","5","13.57","InStore"
"33","04/19/2025","19","4","42.95","164.84","131","Card","15","6.96","Online"
"34","04/20/2025","47","3","45.45","125.31","103","MobilePay","15","11.04","InStore"
"35","05/06/2025","36","1","77.28","73.94","121","MobilePay","14","3.34","InStore"
"36","04/24/2025","26","3","92.30","270.17","40","MobilePay","14","6.73","InStore"
"37","01/19/2025","7","3","19.57","51.30","73","MobilePay","4","7.41","Online"
"38","02/02/2025","5","3","34.07","89.23","144","Cash","14","12.98","Online"
"39","03/02/2025","9","3","52.60","135.19","42","MobilePay","11","22.61","Online"
"40","05/30/2025","23","4","32.65","125.58","45","Cash","9","5.02","InStore"
"41","03/25/2025","26","1","92.30","90.16","142","Cash","5","2.14","InStore"
"42","05/17/2025","42","4","65.98","240.45","148","Card","14","23.47","InStore"
"43","04/27/2025","5","4","34.07","134.19","116","Cash","11","2.09","InStore"
"44","04/21/2025","46","3","72.77","197.90","106","Card","5","20.41","InStore"
"45","06/07/2025","41","2","24.10","42.49","104","Card","9","5.71","Online"
"46","05/25/2025","45","2","46.21","92.10","74","MobilePay","10","0.32","InStore"
"47","05/22/2025","47","4","45.45","164.04","72","MobilePay","3","17.76","InStore"
"48","02/25/2025","21","4","78.32","290.99","85","Card","13","22.29","InStore"
"49","02/28/2025","20","3","53.84","153.18","141","Cash","1","8.34","InStore"
"50","04/27/2025","19","4","42.95","170.02","109","Cash","4","1.78","Online"
"51","06/14/2025","20","3","53.84","159.65","44","MobilePay","3","1.87","Online"
"52","04/06/2025","5","2","34.07","64.55","87","MobilePay","13","3.59","InStore"
"53","03/01/2025","12","2","86.44","162.18","82","Card","13","10.70","InStore"
"54","02/02/2025","16","1","35.42","31.67","135","Card","14","3.75","InStore"
